만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
71,20.0,1.0,3,3,2,2,1.0,2.0,3,2.5,2.0,2.0,2017
65,2.0,2.0,3,2,2,2,4.0,1.0,3,2.5,2.0,2.0,2017
81,20.0,1.0,3,4,2,2,2.0,2.0,3,3.0,2.0,2.0,2017
88,5.0,1.0,3,3,1,1,1.0,2.0,3,4.0,2.0,1.5,2017
67,20.0,1.0,3,4,1,1,2.0,2.0,4,2.5,1.0,1.5,2017
78,1.0,1.0,4,4,1,1,1.0,2.0,2,1.75,1.0,4.0,2017
84,40.0,1.0,3,4,4,2,1.0,2.0,5,2.5,1.0,3.0,2017
82,2.0,3.0,3,3,3,2,1.0,2.0,1,2.5,1.0,2.0,2017
76,50.0,1.0,3,3,2,1,1.0,2.0,2,2.0,2.0,2.0,2017
66,25.0,1.0,3,2,2,2,4.0,1.0,3,2.75,2.0,2.0,2017
74,10.0,1.0,3,4,5,3,1.0,2.0,3,3.0,2.0,1.0,2017
81,14.0,1.0,3,3,2,3,1.0,2.0,3,3.0,2.0,2.5,2017
80,3.0,2.0,4,3,2,2,1.0,2.0,3,2.75,1.0,2.0,2017
67,15.0,2.0,3,3,2,4,2.0,1.0,2,2.5,1.0,1.0,2017
73,40.0,2.0,3,3,3,3,1.0,2.0,2,2.25,2.5,2.5,2017
70,1.0,2.0,3,3,2,2,1.0,2.0,2,3.25,2.0,2.0,2017
70,7.0,2.0,3,3,3,2,1.0,2.0,3,2.75,2.0,2.0,2017
71,40.0,2.0,3,3,2,2,1.0,2.0,3,2.0,1.0,2.0,2017
74,1.0,3.0,4,2,4,4,1.0,2.0,3,2.25,2.0,3.5,2017
75,38.0,1.0,3,4,3,1,3.0,2.0,2,2.0,2.0,3.0,2017
66,7.0,2.0,3,2,3,4,1.0,2.0,3,3.5,2.0,3.0,2017
68,30.0,2.0,3,3,3,4,2.0,2.0,2,2.75,2.0,2.0,2017
74,74.0,1.0,1,4,1,1,8.0,2.0,1,2.0,2.0,2.5,2017
67,26.0,2.0,3,3,4,3,5.0,1.0,4,2.5,2.0,2.0,2017
68,15.0,1.0,4,2,3,3,4.0,1.0,4,2.75,2.0,2.0,2017
65,15.0,2.0,3,2,3,3,2.0,2.0,3,3.0,3.0,3.0,2017
67,38.0,2.0,3,3,2,2,4.0,2.0,2,3.0,1.5,1.0,2017
67,40.0,2.0,3,4,4,4,4.0,2.0,2,2.0,1.0,1.5,2017
67,4.0,2.0,3,4,3,3,2.0,1.0,2,2.25,2.0,1.0,2017
75,20.0,1.0,3,3,2,2,2.0,1.0,3,2.5,2.0,1.0,2017
77,28.0,1.0,3,4,1,2,5.0,2.0,3,3.0,3.0,3.0,2017
74,3.0,4.0,3,2,4,4,2.0,2.0,3,2.5,3.0,2.0,2017
69,15.0,1.0,3,3,3,2,2.0,1.0,4,2.5,3.0,3.0,2017
69,21.0,1.0,3,4,1,2,2.0,1.0,3,3.0,3.0,3.0,2017
66,4.0,4.0,3,3,2,2,3.0,2.0,2,2.25,2.0,2.0,2017
74,4.0,1.0,3,3,3,2,3.0,2.0,2,2.75,1.0,3.0,2017
78,63.0,1.0,1,4,2,1,1.0,2.0,2,2.25,1.0,2.0,2017
83,10.0,1.0,3,3,2,3,1.0,1.0,3,3.0,3.0,3.0,2017
73,5.0,1.0,3,3,2,3,1.0,2.0,3,3.0,2.0,2.0,2017
68,30.0,1.0,3,3,2,2,2.0,1.0,3,2.75,2.0,2.0,2017
69,40.0,1.0,3,3,1,2,2.0,2.0,2,2.0,2.0,2.0,2017
67,5.0,2.0,1,4,1,1,4.0,2.0,3,2.0,5.0,2.0,2019
67,8.0,1.0,3,2,2,2,1.0,2.0,3,2.75,2.0,3.0,2019
79,20.0,2.0,3,3,2,2,3.0,2.0,2,2.5,1.0,2.0,2019
83,30.0,1.0,3,2,4,3,1.0,2.0,3,2.25,1.0,2.0,2019
81,17.0,5.0,3,3,2,2,1.0,2.0,3,2.75,1.0,1.0,2019
75,3.0,1.0,3,2,2,1,1.0,2.0,4,2.75,2.0,3.0,2019
76,18.0,1.0,3,4,2,3,1.0,2.0,5,2.75,1.0,2.0,2019
69,30.0,1.0,3,2,3,2,1.0,2.0,3,2.5,3.0,3.0,2019
84,3.0,2.0,4,2,2,2,1.0,2.0,3,2.5,3.0,2.0,2019
70,41.0,3.0,2,3,3,2,3.0,2.0,2,2.75,1.0,2.0,2019
78,5.0,1.0,4,2,3,3,1.0,2.0,3,3.0,3.0,2.0,2019
80,6.0,1.0,4,2,2,3,1.0,2.0,4,2.0,1.0,2.0,2019
65,3.0,2.0,4,3,4,2,6.0,2.0,3,3.0,2.0,2.5,2019
72,20.0,2.0,3,3,2,3,3.0,2.0,3,2.0,1.0,1.0,2019
84,70.0,1.0,3,3,2,2,8.0,1.0,3,2.25,2.0,2.0,2019
80,22.0,2.0,3,3,5,3,1.0,2.0,5,5.0,5.0,4.5,2019
72,40.0,2.0,4,2,3,3,1.0,2.0,4,3.0,2.0,2.0,2019
73,40.0,2.0,3,3,3,4,3.0,2.0,4,2.5,4.0,2.0,2019
80,42.0,2.0,3,4,2,3,1.0,2.0,4,3.0,3.0,2.0,2019
68,35.0,2.0,3,4,1,5,1.0,1.0,5,2.75,4.0,3.0,2019
83,30.0,1.0,3,3,2,3,2.0,2.0,4,3.0,2.0,2.0,2019
78,50.0,1.0,3,4,1,2,1.0,2.0,3,1.5,1.0,2.0,2019
77,10.0,2.0,4,2,2,3,1.0,1.0,3,2.5,2.0,4.0,2019
66,38.0,1.0,3,3,2,1,4.0,2.0,3,2.75,2.0,3.0,2019
71,18.0,2.0,3,2,4,4,4.0,2.0,3,3.25,2.0,4.0,2019
69,48.0,2.0,3,3,3,2,1.0,2.0,2,2.75,3.0,1.0,2019
67,40.0,2.0,3,3,3,2,2.0,2.0,3,2.5,3.0,2.0,2019
81,6.0,4.0,4,2,3,3,1.0,2.0,3,2.25,1.0,1.0,2019
66,30.0,2.0,3,3,2,4,2.0,2.0,3,3.0,2.0,2.0,2019
71,50.0,1.0,3,3,2,3,1.0,1.0,4,2.75,1.0,2.0,2019
76,1.0,1.0,3,3,2,3,1.0,2.0,4,2.75,2.0,1.5,2019
65,1.0,2.0,3,4,1,3,3.0,1.0,4,3.0,3.0,3.5,2019
65,20.0,1.0,3,3,4,2,3.0,1.0,2,4.5,2.0,4.0,2019
82,70.0,2.0,3,2,3,2,1.0,1.0,4,2.5,3.0,2.0,2019
72,33.0,1.0,3,3,2,2,3.0,2.0,3,3.0,1.0,4.0,2019
75,1.0,1.0,3,3,3,3,2.0,2.0,3,2.75,3.0,3.0,2019
66,49.0,1.0,3,2,2,1,1.0,1.0,3,3.25,2.0,2.0,2019
75,3.0,2.0,4,3,4,4,1.0,2.0,3,2.75,2.0,2.0,2019
66,15.0,1.0,1,1,1,1,1.0,1.0,3,2.75,2.0,1.0,2019
72,25.0,3.0,3,2,2,3,1.0,2.0,2,3.25,3.0,4.0,2019
74,40.0,2.0,1,2,1,1,3.0,2.0,1,2.75,1.0,1.0,2019
73,3.0,4.0,4,2,2,3,1.0,2.0,4,2.0,2.0,3.0,2019
65,1.0,2.0,4,2,4,3,2.0,1.0,3,2.5,3.0,4.0,2019
79,1.0,3.0,4,2,3,3,1.0,2.0,3,3.0,1.0,2.0,2019
84,84.0,1.0,1,4,1,1,2.0,2.0,3,3.0,1.0,4.0,2019
67,30.0,1.0,3,3,2,4,4.0,1.0,3,2.0,2.0,1.0,2019
