만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공원이용만족도,year
80,13,2,3,2,7,1,1.0,2.0,7,2.6,1.0,2023
67,34,2,3,1,5,3,7.0,2.0,5,2.6,1.0,2023
85,12,3,3,2,5,1,1.0,2.0,5,3.0,1.0,2023
68,10,2,3,2,6,3,3.0,1.0,5,3.0,2.0,2023
82,25,3,3,2,6,2,2.0,2.0,5,2.6,2.0,2023
65,10,2,4,2,7,3,4.0,2.0,5,2.8,2.0,2023
74,37,1,3,1,8,1,5.0,2.0,8,2.2,2.0,2023
65,30,2,3,3,7,3,2.0,2.0,7,3.0,3.0,2023
76,22,2,4,2,7,1,3.0,2.0,7,2.2,2.0,2023
66,17,3,3,2,5,3,2.0,2.0,5,3.4,3.0,2023
78,78,1,1,1,7,2,2.0,2.0,5,2.6,2.0,2023
68,1,2,4,3,7,2,3.0,1.0,7,3.0,2.0,2023
85,62,1,3,3,8,2,1.0,2.0,4,2.2,1.0,2023
70,70,1,1,1,5,2,2.0,1.0,4,2.6,2.0,2023
76,4,3,4,3,5,1,3.0,1.0,0,3.0,1.0,2023
70,45,2,3,3,5,2,5.0,2.0,8,2.8,3.0,2023
