만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
69,10,1,3,3,1.0,1.0,1.0,3,2023
68,43,3,3,2,3.0,4.0,2.0,3,2023
67,37,2,3,4,4.0,5.0,1.0,3,2023
81,2,3,4,3,3.0,2.0,2.0,3,2023
68,27,3,4,2,3.0,4.0,2.0,3,2023
85,30,2,3,3,2.0,2.0,2.0,2,2023
70,8,1,3,4,2.0,5.0,2.0,2,2023
73,13,2,3,4,2.0,4.0,1.0,1,2023
83,29,1,3,4,2.0,2.0,2.0,3,2023
65,29,1,3,4,2.0,3.0,2.0,3,2023
72,28,1,3,4,2.0,3.0,1.0,2,2023
72,4,1,4,3,3.0,2.0,2.0,3,2023
66,5,1,3,4,1.0,6.0,1.0,2,2023
83,31,2,4,2,3.0,1.0,2.0,3,2023
84,30,1,3,4,1.0,4.0,2.0,2,2023
80,30,2,3,3,3.0,4.0,2.0,3,2023
82,30,2,3,3,3.0,5.0,2.0,3,2023
70,30,2,3,2,2.0,5.0,2.0,2,2023
69,1,1,3,3,2.0,4.0,2.0,2,2023
78,50,1,3,4,1.0,2.0,2.0,1,2023
85,13,2,3,3,3.0,2.0,2.0,3,2023
73,30,2,3,3,2.0,2.0,1.0,3,2023
67,50,1,3,4,2.0,6.0,1.0,3,2023
66,41,2,3,3,2.0,6.0,2.0,2,2023
85,29,2,3,4,1.0,5.0,2.0,3,2023
70,27,2,3,4,2.0,4.0,1.0,3,2023
76,29,2,3,4,1.0,2.0,2.0,2,2023
67,30,1,3,4,1.0,8.0,2.0,1,2023
73,29,3,4,3,2.0,4.0,2.0,2,2023
85,20,1,3,4,1.0,5.0,2.0,1,2023
70,30,2,3,3,1.0,5.0,2.0,2,2023
74,20,4,4,3,4.0,6.0,2.0,3,2023
66,31,2,3,4,2.0,4.0,1.0,1,2023
78,16,2,3,3,2.0,2.0,2.0,3,2023
65,20,2,3,3,3.0,5.0,2.0,3,2023
71,17,4,4,2,2.0,3.0,2.0,3,2023
70,30,2,3,3,1.0,1.0,1.0,2,2023
68,8,2,3,3,3.0,5.0,2.0,3,2023
74,30,1,3,3,3.0,2.0,2.0,3,2023
78,9,2,4,3,2.0,3.0,2.0,1,2023
70,5,1,4,3,1.0,4.0,2.0,2,2023
77,27,1,3,4,1.0,4.0,2.0,1,2023
73,30,2,3,3,2.0,1.0,1.0,2,2023
77,15,1,3,3,3.0,5.0,2.0,1,2023
85,25,2,4,3,2.0,1.0,2.0,2,2023
82,1,2,3,3,2.0,1.0,1.0,3,2023
80,18,2,3,3,2.0,1.0,2.0,2,2023
83,7,2,3,3,2.0,2.0,2.0,2,2023
66,28,2,4,2,2.0,5.0,1.0,2,2023
79,6,4,3,3,1.0,5.0,1.0,1,2023
82,21,1,3,4,1.0,1.0,2.0,2,2023
75,25,2,3,3,1.0,3.0,2.0,1,2023
70,30,1,3,3,2.0,6.0,2.0,3,2023
65,40,1,3,4,3.0,3.0,2.0,3,2023
85,15,2,3,3,3.0,3.0,2.0,3,2023
81,20,3,3,3,3.0,3.0,2.0,3,2023
85,1,3,4,3,4.0,2.0,2.0,2,2023
68,30,2,3,3,2.0,3.0,2.0,1,2023
76,10,1,3,3,2.0,2.0,2.0,1,2023
81,26,1,3,3,1.0,2.0,2.0,3,2023
65,23,3,3,2,3.0,4.0,2.0,2,2023
79,40,1,3,2,1.0,4.0,2.0,1,2023
83,15,2,3,3,1.0,3.0,1.0,3,2023
78,25,2,3,4,2.0,2.0,2.0,3,2023
69,50,1,3,3,4.0,1.0,1.0,3,2023
85,36,1,3,4,1.0,1.0,2.0,1,2023
80,14,1,3,3,3.0,1.0,2.0,3,2023
67,30,1,3,4,1.0,2.0,2.0,2,2023
69,20,1,3,3,2.0,1.0,2.0,3,2023
68,47,1,3,2,3.0,3.0,1.0,3,2023
76,43,2,3,4,3.0,3.0,1.0,3,2023
75,15,2,3,3,2.0,2.0,1.0,3,2023
76,20,2,4,3,2.0,2.0,2.0,1,2023
67,3,2,3,3,1.0,5.0,2.0,2,2023
66,20,2,3,4,2.0,7.0,1.0,1,2023
73,13,3,4,2,3.0,5.0,2.0,3,2023
81,13,2,3,3,2.0,5.0,1.0,3,2023
65,20,2,3,3,2.0,6.0,2.0,2,2023
75,14,1,3,4,2.0,4.0,2.0,2,2023
85,8,1,4,3,1.0,8.0,1.0,3,2023
77,13,2,3,4,1.0,4.0,1.0,3,2023
66,13,2,3,3,3.0,4.0,1.0,3,2023
82,13,1,3,3,2.0,3.0,2.0,3,2023
77,5,2,4,2,3.0,4.0,1.0,3,2023
67,10,2,3,3,3.0,4.0,2.0,3,2023
67,20,2,3,3,1.0,5.0,1.0,3,2023
73,50,1,3,4,1.0,6.0,2.0,5,2023
77,20,2,3,4,3.0,2.0,1.0,3,2023
74,53,1,3,4,1.0,1.0,1.0,3,2023
75,36,2,3,3,1.0,1.0,2.0,4,2023
75,15,2,3,3,3.0,1.0,2.0,3,2023
81,8,2,3,3,2.0,1.0,2.0,3,2023
85,30,2,3,3,2.0,1.0,2.0,3,2023
75,32,3,4,3,3.0,1.0,2.0,3,2023
76,40,1,3,4,3.0,2.0,2.0,1,2023
65,18,1,3,3,3.0,3.0,1.0,3,2023
65,35,1,3,4,1.0,1.0,2.0,1,2023
74,4,1,3,3,1.0,1.0,2.0,3,2023
74,21,1,3,4,1.0,2.0,2.0,3,2023
80,30,1,3,4,2.0,1.0,2.0,2,2023
85,30,2,3,4,3.0,3.0,2.0,3,2023
71,15,2,3,3,3.0,4.0,1.0,3,2023
75,3,3,4,2,2.0,2.0,2.0,3,2023
85,20,4,3,4,1.0,3.0,2.0,1,2023
66,7,2,3,3,1.0,4.0,2.0,1,2023
71,5,2,3,3,1.0,4.0,1.0,2,2023
78,28,2,3,3,1.0,6.0,2.0,4,2023
73,8,2,4,3,2.0,3.0,2.0,3,2023
79,20,1,3,4,1.0,2.0,2.0,2,2023
66,29,1,3,4,1.0,8.0,2.0,1,2023
76,70,1,1,3,3.0,5.0,1.0,3,2023
78,27,2,3,3,2.0,3.0,2.0,2,2023
79,25,2,3,3,2.0,1.0,2.0,3,2023
66,21,4,3,2,3.0,4.0,2.0,1,2023
