만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
68,39.0,2.0,3,3,4.0,1.0,2.0,3,2017
79,30.0,1.0,3,3,2.5,1.0,2.0,2,2017
73,40.0,1.0,3,3,1.5,1.0,2.0,2,2017
75,41.0,2.0,3,2,3.5,1.0,2.0,3,2017
73,70.0,2.0,3,3,3.0,1.0,2.0,2,2017
66,25.0,2.0,3,3,2.0,2.0,2.0,2,2017
85,30.0,1.0,3,3,3.0,1.0,2.0,3,2017
71,50.0,2.0,3,2,4.0,1.0,2.0,4,2017
68,26.0,1.0,3,3,3.0,1.0,2.0,4,2017
65,10.0,2.0,4,2,4.0,1.0,1.0,4,2017
79,38.0,2.0,3,3,3.5,1.0,2.0,4,2017
65,35.0,4.0,4,2,3.0,2.0,2.0,2,2017
87,20.0,2.0,3,3,2.5,1.0,2.0,5,2017
76,30.0,2.0,1,3,2.5,1.0,2.0,4,2017
88,20.0,3.0,3,2,3.0,1.0,2.0,5,2017
67,67.0,1.0,1,3,4.0,1.0,2.0,2,2017
71,30.0,3.0,4,2,2.5,1.0,1.0,4,2017
80,50.0,1.0,3,3,1.5,3.0,2.0,3,2017
81,40.0,1.0,3,2,3.0,1.0,2.0,4,2017
69,44.0,1.0,3,2,2.5,2.0,2.0,2,2017
80,40.0,1.0,3,3,1.0,2.0,2.0,5,2017
71,44.0,1.0,3,3,3.5,2.0,2.0,2,2017
67,40.0,1.0,3,3,3.0,1.0,2.0,4,2017
78,40.0,2.0,3,3,3.0,1.0,2.0,4,2017
74,40.0,1.0,3,3,3.0,1.0,2.0,4,2017
74,20.0,1.0,3,3,2.5,1.0,2.0,5,2017
68,2.0,4.0,4,2,3.0,1.0,1.0,4,2017
76,30.0,1.0,3,3,2.5,1.0,2.0,3,2017
67,35.0,1.0,3,3,3.0,1.0,2.0,5,2017
68,15.0,4.0,3,3,3.5,2.0,2.0,3,2017
72,5.0,2.0,4,2,3.0,2.0,2.0,3,2017
78,45.0,1.0,3,3,2.0,1.0,2.0,2,2017
67,35.0,1.0,3,3,2.0,3.0,2.0,2,2017
81,46.0,2.0,3,3,3.0,1.0,2.0,3,2017
65,50.0,1.0,3,3,3.0,2.0,2.0,5,2017
79,40.0,1.0,3,3,1.5,2.0,2.0,3,2017
70,42.0,2.0,3,3,3.0,2.0,1.0,3,2017
68,45.0,2.0,3,3,3.0,2.0,2.0,2,2017
82,26.0,1.0,3,3,2.5,2.0,2.0,2,2017
82,10.0,4.0,3,3,3.0,1.0,2.0,2,2017
80,40.0,1.0,3,3,4.5,1.0,2.0,4,2017
70,35.0,1.0,3,3,2.0,1.0,2.0,3,2017
74,30.0,1.0,3,4,3.0,2.0,2.0,2,2017
66,26.0,2.0,3,3,4.0,5.0,1.0,4,2017
71,10.0,1.0,3,3,2.0,1.0,1.0,3,2017
70,14.0,2.0,3,3,3.5,3.0,1.0,4,2017
66,35.0,1.0,3,3,2.0,4.0,2.0,3,2017
73,40.0,1.0,3,3,1.0,1.0,1.0,3,2017
71,32.0,4.0,3,2,4.0,5.0,2.0,3,2017
68,3.0,3.0,2,2,3.0,2.0,2.0,3,2017
74,44.0,1.0,3,3,3.0,1.0,2.0,3,2017
79,14.0,1.0,3,3,1.5,1.0,2.0,2,2017
74,1.0,3.0,4,3,2.0,2.0,2.0,3,2017
68,10.0,2.0,2,2,3.5,2.0,2.0,3,2017
65,28.0,2.0,3,4,1.0,2.0,2.0,1,2017
74,4.0,1.0,4,2,2.0,1.0,2.0,3,2017
65,65.0,1.0,1,4,1.0,1.0,2.0,3,2017
66,60.0,2.0,1,4,3.0,3.0,2.0,2,2017
80,36.0,2.0,3,3,2.5,2.0,2.0,2,2017
71,20.0,1.0,3,2,3.5,2.0,1.0,5,2017
65,30.0,2.0,3,3,2.0,2.0,2.0,3,2017
71,25.0,1.0,3,3,1.5,2.0,2.0,2,2017
